time,created,delivered,waiting,dropped,avg_latency,throughput,packet_loss
1,1,0,0,0,0,0,0
2,4,0,0,0,0,0,0
3,8,0,0,0,0,0,0
4,11,0,1,0,0,0,0
5,15,0,1,0,0,0,0
6,17,0,1,0,0,0,0
7,19,0,0,0,0,0,0
8,19,0,0,0,0,0,0
9,21,0,2,0,0,0,0
10,25,0,4,0,0,0,0
11,29,0,3,0,0,0,0
12,33,1,2,0,12,0.0833333,0
13,36,1,1,0,12,0.0769231,0
14,38,3,3,0,12,0.214286,0
15,39,3,3,0,12,0.2,0
16,42,5,4,0,12,0.3125,0
17,43,5,2,0,12,0.294118,0
18,46,6,5,0,12.8333,0.333333,0
19,48,7,7,0,13.4286,0.368421,0
20,50,8,7,0,13.875,0.4,0
21,50,8,7,0,13.875,0.380952,0
22,50,8,7,0,13.875,0.363636,0
23,50,8,8,0,13.875,0.347826,0
24,50,8,8,1,13.875,0.333333,2
25,50,8,8,1,13.875,0.32,2
26,50,9,8,1,13.6667,0.346154,2
27,50,9,9,2,13.6667,0.333333,4
28,50,10,10,5,14.5,0.357143,10
29,50,13,7,6,14.3077,0.448276,12
30,50,13,5,7,14.3077,0.433333,14
31,50,15,4,7,15.7333,0.483871,14
32,50,16,4,7,16.125,0.5,14
33,50,19,4,8,17.2632,0.575758,16
34,50,21,2,8,18.2857,0.617647,16
35,50,21,2,8,18.2857,0.6,16
36,50,21,2,8,18.2857,0.583333,16
37,50,21,1,8,18.2857,0.567568,16
38,50,23,1,9,19.1304,0.605263,18
39,50,23,0,9,19.1304,0.589744,18
40,50,25,0,9,19.88,0.625,18
41,50,25,0,9,19.88,0.609756,18
42,50,25,0,9,19.88,0.595238,18
43,50,26,0,9,20.3846,0.604651,18
44,50,27,0,9,21.1111,0.613636,18
45,50,28,0,9,21.5357,0.622222,18
46,50,28,0,9,21.5357,0.608696,18
47,50,28,0,9,21.5357,0.595745,18
48,50,30,0,9,22.6667,0.625,18
49,50,30,0,9,22.6667,0.612245,18
50,50,30,0,9,22.6667,0.6,18
51,50,30,0,9,22.6667,0.588235,18
52,50,30,0,9,22.6667,0.576923,18
53,50,31,0,9,23.1613,0.584906,18
54,50,32,0,9,23.8438,0.592593,18
55,50,32,0,9,23.8438,0.581818,18
56,50,32,0,9,23.8438,0.571429,18
57,50,33,0,9,24.5758,0.578947,18
58,50,34,0,9,25.0294,0.586207,18
59,50,34,0,9,25.0294,0.576271,18
60,50,35,0,9,25.6571,0.583333,18
61,50,35,0,9,25.6571,0.57377,18
62,50,36,0,9,26.3056,0.580645,18
63,50,36,0,9,26.3056,0.571429,18
64,50,37,0,9,26.8108,0.578125,18
65,50,38,0,9,27.6842,0.584615,18
66,50,38,0,9,27.6842,0.575758,18
67,50,39,0,9,28.4359,0.58209,18
68,50,39,0,9,28.4359,0.573529,18
69,50,39,0,9,28.4359,0.565217,18
70,50,40,0,9,29.25,0.571429,18
71,50,40,0,9,29.25,0.56338,18
72,50,41,0,9,30.0244,0.569444,18
